type,headline,url,date
Press Release,Justice Department and Office of the Comptroller of the Currency Announce Actions to Resolve Lending Discrimination Claims Against Cadence Bank,"https://www.justice.gov<a href=""/opa/pr/justice-department-and-office-comptroller-currency-announce-actions-resolve-lending"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department and Office of the Comptroller of the Currency Announce Actions to Resolve Lending Discrimination Claims Against Cadence Bank </span>
</a>",2021-08-30
Press Release,Attorney General Garland Issues Statement on 2020 FBI Hate Crimes in the United States Statistics,"https://www.justice.gov<a href=""/opa/pr/attorney-general-garland-issues-statement-2020-fbi-hate-crimes-united-states-statistics"" rel=""bookmark"">
<span class=""field-formatter--string"">Attorney General Garland Issues Statement on 2020 FBI Hate Crimes in the United States Statistics</span>
</a>",2021-08-30
Press Release,Tennessee Man Charged with Civil Rights Violations for Series of Church Arsons,"https://www.justice.gov<a href=""/opa/pr/tennessee-man-charged-civil-rights-violations-series-church-arsons"" rel=""bookmark"">
<span class=""field-formatter--string"">Tennessee Man Charged with Civil Rights Violations for Series of Church Arsons</span>
</a>",2021-08-25
Press Release,Justice Department Settles with Large Health Care Organization to Resolve Software-Based Immigration-Related Discrimination Claims,"https://www.justice.gov<a href=""/opa/pr/justice-department-settles-large-health-care-organization-resolve-software-based-immigration"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Settles with Large Health Care Organization to Resolve Software-Based Immigration-Related Discrimination Claims</span>
</a>",2021-08-25
Press Release,Justice Department Obtains Settlement from Kentucky Landlord and Rental Manager to Resolve Claims of Sexual Harassment Against Female Tenants,"https://www.justice.gov<a href=""/opa/pr/justice-department-obtains-settlement-kentucky-landlord-and-rental-manager-resolve-claims"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Obtains Settlement from Kentucky Landlord and Rental Manager to Resolve Claims of Sexual Harassment Against Female Tenants</span>
</a>",2021-08-25
Press Release,Leader of ‘Atomwaffen’ Conspiracy Sentenced to Three Years in Prison for Threatening Journalists and Advocates,"https://www.justice.gov<a href=""/opa/pr/leader-atomwaffen-conspiracy-sentenced-three-years-prison-threatening-journalists-and"" rel=""bookmark"">
<span class=""field-formatter--string"">Leader of ‘Atomwaffen’ Conspiracy Sentenced to Three Years in Prison for Threatening Journalists and Advocates</span>
</a>",2021-08-24
Press Release,Justice Department Enters Agreement to Ensure Public Transportation for Passengers with Disabilities in the County of Hawaii,"https://www.justice.gov<a href=""/opa/pr/justice-department-enters-agreement-ensure-public-transportation-passengers-disabilities"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Enters Agreement to Ensure Public Transportation for Passengers with Disabilities in the County of Hawaii</span>
</a>",2021-08-24
Press Release,California Restaurant Owners Plead Guilty to Conspiracy to Commit Forced Labor,"https://www.justice.gov<a href=""/opa/pr/california-restaurant-owners-plead-guilty-conspiracy-commit-forced-labor-0"" rel=""bookmark"">
<span class=""field-formatter--string"">California Restaurant Owners Plead Guilty to Conspiracy to Commit Forced Labor</span>
</a>",2021-08-24
Press Release,Iowa Woman Sentenced to 304 Months in Prison for Hate Crimes Involving Attempting to Kill Two Children Because of their Race and National Origin,"https://www.justice.gov<a href=""/opa/pr/iowa-woman-sentenced-304-months-prison-hate-crimes-involving-attempting-kill-two-children"" rel=""bookmark"">
<span class=""field-formatter--string"">Iowa Woman Sentenced to 304 Months in Prison for Hate Crimes Involving Attempting to Kill Two Children Because of their Race and National Origin</span>
</a>",2021-08-20
Press Release,Justice Department Settles Claim Against Illinois-Based IT Recruiter for Discriminating Against U.S. Workers,"https://www.justice.gov<a href=""/opa/pr/justice-department-settles-claim-against-illinois-based-it-recruiter-discriminating-against"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Settles Claim Against Illinois-Based IT Recruiter for Discriminating Against U.S. Workers</span>
</a>",2021-08-17
Press Release,Justice Department Settles Lawsuit Alleging Disability-Based Discrimination in Residential Rental Properties in North Dakota,"https://www.justice.gov<a href=""/opa/pr/justice-department-settles-lawsuit-alleging-disability-based-discrimination-residential"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Settles Lawsuit Alleging Disability-Based Discrimination in Residential Rental Properties in North Dakota</span>
</a>",2021-08-16
Press Release,Justice Department Settles with Iowa-Based Nursing Home and Management Company to Resolve Immigration-Related Discrimination Claim,"https://www.justice.gov<a href=""/opa/pr/justice-department-settles-iowa-based-nursing-home-and-management-company-resolve-immigration"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Settles with Iowa-Based Nursing Home and Management Company to Resolve Immigration-Related Discrimination Claim</span>
</a>",2021-08-13
Press Release,Justice Department Files Sexual Harassment Lawsuit Against Massachusetts Sober Home Operator,"https://www.justice.gov<a href=""/opa/pr/justice-department-files-sexual-harassment-lawsuit-against-massachusetts-sober-home-operator"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Files Sexual Harassment Lawsuit Against Massachusetts Sober Home Operator</span>
</a>",2021-08-11
Press Release,Missouri Man Indicted on Federal Hate Crime and Firearm Charges,"https://www.justice.gov<a href=""/opa/pr/missouri-man-indicted-federal-hate-crime-and-firearm-charges"" rel=""bookmark"">
<span class=""field-formatter--string"">Missouri Man Indicted on Federal Hate Crime and Firearm Charges</span>
</a>",2021-08-11
Press Release,Justice Department Reaches Proposed Consent Decree with the State of New Jersey to Resolve Claims that the Edna Mahan Correctional Facility for Women Violated the Constitution by Failing to Protect Prisoners from Sexual Abuse by Staff,"https://www.justice.gov<a href=""/opa/pr/justice-department-reaches-proposed-consent-decree-state-new-jersey-resolve-claims-edna-mahan"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Reaches Proposed Consent Decree with the State of New Jersey to Resolve Claims that the Edna Mahan Correctional Facility for Women Violated the Constitution by Failing to Protect Prisoners from Sexual Abuse by Staff</span>
</a>",2021-08-10
Press Release,Justice Department Settles Claim Against Akal Security To Enforce Servicemember’s USERRA Rights,"https://www.justice.gov<a href=""/opa/pr/justice-department-settles-claim-against-akal-security-enforce-servicemember-s-userra-rights"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Settles Claim Against Akal Security To Enforce Servicemember’s USERRA Rights</span>
</a>",2021-08-10
Press Release,Justice Department Reaches Agreement with Brown University to Ensure Equal Access for Students with Mental Health Disabilities,"https://www.justice.gov<a href=""/opa/pr/justice-department-reaches-agreement-brown-university-ensure-equal-access-students-mental"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Reaches Agreement with Brown University to Ensure Equal Access for Students with Mental Health Disabilities</span>
</a>",2021-08-10
Press Release,"Sheriff of Franklin County, Arkansas Found Guilty of Assaulting Two Individuals in Custody","https://www.justice.gov<a href=""/opa/pr/sheriff-franklin-county-arkansas-found-guilty-assaulting-two-individuals-custody"" rel=""bookmark"">
<span class=""field-formatter--string"">Sheriff of Franklin County, Arkansas Found Guilty of Assaulting Two Individuals in Custody</span>
</a>",2021-08-09
Press Release,Puerto Rico Men Charged with Hate Crimes for Shooting Transgender Woman with a Paintball Gun,"https://www.justice.gov<a href=""/opa/pr/puerto-rico-men-charged-hate-crimes-shooting-transgender-woman-paintball-gun"" rel=""bookmark"">
<span class=""field-formatter--string"">Puerto Rico Men Charged with Hate Crimes for Shooting Transgender Woman with a Paintball Gun</span>
</a>",2021-08-06
Press Release,Justice Department Settles Sexual Harassment Lawsuit Against Property Manager and Owners of California Apartment Buildings,"https://www.justice.gov<a href=""/opa/pr/justice-department-settles-sexual-harassment-lawsuit-against-property-manager-and-owners"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Settles Sexual Harassment Lawsuit Against Property Manager and Owners of California Apartment Buildings </span>
</a>",2021-08-06
Speech,Assistant Attorney General Kristen Clarke Delivers Remarks Announcing a Pattern or Practice Investigation into the City of Phoenix and the Phoenix Police Department,"https://www.justice.gov<a href=""/opa/speech/assistant-attorney-general-kristen-clarke-delivers-remarks-announcing-pattern-or-practice"" rel=""bookmark"">
<span class=""field-formatter--string"">Assistant Attorney General Kristen Clarke Delivers Remarks Announcing a Pattern or Practice Investigation into the City of Phoenix and the Phoenix Police Department</span>
</a>",2021-08-05
Press Release,Justice Department Reaches Agreement with the State of New Jersey under the National Voter Registration Act,"https://www.justice.gov<a href=""/opa/pr/justice-department-reaches-agreement-state-new-jersey-under-national-voter-registration-act"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Reaches Agreement with the State of New Jersey under the National Voter Registration Act</span>
</a>",2021-08-05
Press Release,Justice Department Announces Investigation of the City of Phoenix and the Phoenix Police Department,"https://www.justice.gov<a href=""/opa/pr/justice-department-announces-investigation-city-phoenix-and-phoenix-police-department"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Announces Investigation of the City of Phoenix and the Phoenix Police Department</span>
</a>",2021-08-05
Press Release,Justice Department Obtains $1.25 Million Settlement from Oklahoma City Landlords to Resolve Claims of Sexual Harassment Against Female Tenants,"https://www.justice.gov<a href=""/opa/pr/justice-department-obtains-125-million-settlement-oklahoma-city-landlords-resolve-claims"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Obtains $1.25 Million Settlement from Oklahoma City Landlords to Resolve Claims of Sexual Harassment Against Female Tenants</span>
</a>",2021-08-04
Press Release,"Muncie, Indiana Police Officer Pleads Guilty to Misprision of Felony for Concealing Crime Committed by Another Officer","https://www.justice.gov<a href=""/opa/pr/muncie-indiana-police-officer-pleads-guilty-misprision-felony-concealing-crime-committed"" rel=""bookmark"">
<span class=""field-formatter--string"">Muncie, Indiana Police Officer Pleads Guilty to Misprision of Felony for Concealing Crime Committed by Another Officer</span>
</a>",2021-08-04
Press Release,Louisville Metro Police Officer Pleads Guilty to Using Excessive Force,"https://www.justice.gov<a href=""/opa/pr/louisville-metro-police-officer-pleads-guilty-using-excessive-force"" rel=""bookmark"">
<span class=""field-formatter--string"">Louisville Metro Police Officer Pleads Guilty to Using Excessive Force</span>
</a>",2021-08-04
Press Release,Justice Department Settles with Florida’s Volusia County School District to Protect Students with Disabilities from Classroom Removals and Other Discrimination,"https://www.justice.gov<a href=""/opa/pr/justice-department-settles-florida-s-volusia-county-school-district-protect-students"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Settles with Florida’s Volusia County School District to Protect Students with Disabilities from Classroom Removals and Other Discrimination</span>
</a>",2021-08-03
Press Release,"Justice Department Issues Guidance on Federal Statutes Regarding Voting Methods and Post-Election ""Audits""","https://www.justice.gov<a href=""/opa/pr/justice-department-issues-guidance-federal-statutes-regarding-voting-methods-and-post"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Issues Guidance on Federal Statutes Regarding Voting Methods and Post-Election ""Audits""</span>
</a>",2021-07-28
Press Release,"Justice Department Files Retaliation Lawsuit Against Wilson County, North Carolina, Emergency Communications","https://www.justice.gov<a href=""/opa/pr/justice-department-files-retaliation-lawsuit-against-wilson-county-north-carolina-emergency"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Files Retaliation Lawsuit Against Wilson County, North Carolina, Emergency Communications</span>
</a>",2021-07-28
Press Release,Former Mississippi Police Officer Pleads Guilty to Excessive Force Charge,"https://www.justice.gov<a href=""/opa/pr/former-mississippi-police-officer-pleads-guilty-excessive-force-charge"" rel=""bookmark"">
<span class=""field-formatter--string"">Former Mississippi Police Officer Pleads Guilty to Excessive Force Charge</span>
</a>",2021-07-27
Press Release,"DOJ and HHS Issue Guidance on ‘Long COVID’ and Disability Rights Under the ADA, Section 504, and Section 1557","https://www.justice.gov<a href=""/opa/pr/doj-and-hhs-issue-guidance-long-covid-and-disability-rights-under-ada-section-504-and-section"" rel=""bookmark"">
<span class=""field-formatter--string"">DOJ and HHS Issue Guidance on ‘Long COVID’ and Disability Rights Under the ADA, Section 504, and Section 1557</span>
</a>",2021-07-26
Press Release,Attorney General Garland and Civil Rights Division Assistant Attorney General Clarke Commemorate the 31st Anniversary of the Americans with Disabilities Act,"https://www.justice.gov<a href=""/opa/pr/attorney-general-garland-and-civil-rights-division-assistant-attorney-general-clarke"" rel=""bookmark"">
<span class=""field-formatter--string"">Attorney General Garland and Civil Rights Division Assistant Attorney General Clarke Commemorate the 31st Anniversary of the Americans with Disabilities Act</span>
</a>",2021-07-26
Press Release,"Justice Department Obtains $50,000 Settlement Against Dallas Towing Company for Illegally Selling Five Cars Owned by U.S. Servicemembers","https://www.justice.gov<a href=""/opa/pr/justice-department-obtains-50000-settlement-against-dallas-towing-company-illegally-selling"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Obtains $50,000 Settlement Against Dallas Towing Company for Illegally Selling Five Cars Owned by U.S. Servicemembers</span>
</a>",2021-07-23
Press Release,Former Alabama Correctional Supervisor Convicted for Allowing Inmate Abuse,"https://www.justice.gov<a href=""/opa/pr/former-alabama-correctional-supervisor-convicted-allowing-inmate-abuse"" rel=""bookmark"">
<span class=""field-formatter--string"">Former Alabama Correctional Supervisor Convicted for Allowing Inmate Abuse </span>
</a>",2021-07-23
Press Release,"Justice Department Obtains $100,000 Settlement in Sexual Harassment Case Against Ohio Landlords","https://www.justice.gov<a href=""/opa/pr/justice-department-obtains-100000-settlement-sexual-harassment-case-against-ohio-landlords"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Obtains $100,000 Settlement in Sexual Harassment Case Against Ohio Landlords</span>
</a>",2021-07-22
Press Release,"Ohio Man Charged with Hate Crime Related to Plot to Conduct Mass Shooting of Women, Illegal Possession of Machine Gun","https://www.justice.gov<a href=""/opa/pr/ohio-man-charged-hate-crime-related-plot-conduct-mass-shooting-women-illegal-possession"" rel=""bookmark"">
<span class=""field-formatter--string"">Ohio Man Charged with Hate Crime Related to Plot to Conduct Mass Shooting of Women, Illegal Possession of Machine Gun</span>
</a>",2021-07-21
Press Release,Justice Department Reaches Settlement with Los Angeles Towing Company for Illegally Selling a Car Owned by a U.S. Marine,"https://www.justice.gov<a href=""/opa/pr/justice-department-reaches-settlement-los-angeles-towing-company-illegally-selling-car-owned"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Reaches Settlement with Los Angeles Towing Company for Illegally Selling a Car Owned by a U.S. Marine</span>
</a>",2021-07-20
Press Release,Former Bureau of Prisons Corrections Officer Pleads Guilty to Sexually Abusing an Inmate and Witness Tampering,"https://www.justice.gov<a href=""/opa/pr/former-bureau-prisons-corrections-officer-pleads-guilty-sexually-abusing-inmate-and-witness"" rel=""bookmark"">
<span class=""field-formatter--string"">Former Bureau of Prisons Corrections Officer Pleads Guilty to Sexually Abusing an Inmate and Witness Tampering</span>
</a>",2021-07-20
Press Release,Former Tennessee County Official Indicted for Kidnapping and Sexual Assault,"https://www.justice.gov<a href=""/opa/pr/former-tennessee-county-official-indicted-kidnapping-and-sexual-assault"" rel=""bookmark"">
<span class=""field-formatter--string"">Former Tennessee County Official Indicted for Kidnapping and Sexual Assault </span>
</a>",2021-07-16
Press Release,Justice Department Settles with Delivery Services Company to Resolve Retaliation Claim,"https://www.justice.gov<a href=""/opa/pr/justice-department-settles-delivery-services-company-resolve-retaliation-claim"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Settles with Delivery Services Company to Resolve Retaliation Claim </span>
</a>",2021-07-15
Press Release,"Justice Department and Board of Elections of Oneida County, New York, Reach Agreement under National Voter Registration Act and Help America Vote Act","https://www.justice.gov<a href=""/opa/pr/justice-department-and-board-elections-oneida-county-new-york-reach-agreement-under-national"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department and Board of Elections of Oneida County, New York, Reach Agreement under National Voter Registration Act and Help America Vote Act</span>
</a>",2021-07-12
Press Release,Michigan Man Sentenced to Prison for Attacking Black Teenager,"https://www.justice.gov<a href=""/opa/pr/michigan-man-sentenced-prison-attacking-black-teenager"" rel=""bookmark"">
<span class=""field-formatter--string""> Michigan Man Sentenced to Prison for Attacking Black Teenager </span>
</a>",2021-07-08
Press Release,"Justice Department Reaches Agreement with the City of Killeen, Texas to Improve Access for Individuals with Disabilities","https://www.justice.gov<a href=""/opa/pr/justice-department-reaches-agreement-city-killeen-texas-improve-access-individuals"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Reaches Agreement with the City of Killeen, Texas to Improve Access for Individuals with Disabilities</span>
</a>",2021-06-30
Press Release,Mississippi Prison’s Deputy Warden Charged with Civil Rights Offense for Beating Inmate,"https://www.justice.gov<a href=""/opa/pr/mississippi-prison-s-deputy-warden-charged-civil-rights-offense-beating-inmate"" rel=""bookmark"">
<span class=""field-formatter--string"">Mississippi Prison’s Deputy Warden Charged with Civil Rights Offense for Beating Inmate</span>
</a>",2021-06-30
Press Release,"Justice Department Settles Language Access and Retaliation Investigation of Courts in Fort Bend County, Texas","https://www.justice.gov<a href=""/opa/pr/justice-department-settles-language-access-and-retaliation-investigation-courts-fort-bend"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Settles Language Access and Retaliation Investigation of Courts in Fort Bend County, Texas</span>
</a>",2021-06-29
Speech,Assistant Attorney General Kristen Clarke Delivers Remarks on Justice Department Lawsuit Against the State of Georgia to Stop Racially Discriminatory Provisions of New Voting Law,"https://www.justice.gov<a href=""/opa/speech/assistant-attorney-general-kristen-clarke-delivers-remarks-announcing-lawsuit-against"" rel=""bookmark"">
<span class=""field-formatter--string"">Assistant Attorney General Kristen Clarke Delivers Remarks on Justice Department Lawsuit Against the State of Georgia to Stop Racially Discriminatory Provisions of New Voting Law</span>
</a>",2021-06-25
Press Release,Justice Department Files Lawsuit Against the State of Georgia to Stop Racially Discriminatory Provisions of New Voting Law,"https://www.justice.gov<a href=""/opa/pr/justice-department-files-lawsuit-against-state-georgia-stop-racially-discriminatory"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Files Lawsuit Against the State of Georgia to Stop Racially Discriminatory Provisions of New Voting Law </span>
</a>",2021-06-25
Press Release,New Hampshire Man Sentenced to 21 Years in Prison for Sex Trafficking of a Minor and Other Crimes,"https://www.justice.gov<a href=""/opa/pr/new-hampshire-man-sentenced-21-years-prison-sex-trafficking-minor-and-other-crimes"" rel=""bookmark"">
<span class=""field-formatter--string"">New Hampshire Man Sentenced to 21 Years in Prison for Sex Trafficking of a Minor and Other Crimes</span>
</a>",2021-06-25
Press Release,El Departamento de Justicia resuelve una acusación presentada contra operadores de un programa de capacitación laboral en Utah por haber discriminado a un postulante que era asilada,"https://www.justice.gov<a href=""/opa/pr/el-departamento-de-justicia-resuelve-una-acusaci-n-presentada-contra-operadores-de-un"" rel=""bookmark"">
<span class=""field-formatter--string"">El Departamento de Justicia resuelve una acusación presentada contra operadores de un programa de capacitación laboral en Utah por haber discriminado a un postulante que era asilada</span>
</a>",2021-06-24
Press Release,Kroger Shooter Sentenced to Life in Prison for Hate Crime Murders,"https://www.justice.gov<a href=""/opa/pr/kroger-shooter-sentenced-life-prison-hate-crime-murders"" rel=""bookmark"">
<span class=""field-formatter--string"">Kroger Shooter Sentenced to Life in Prison for Hate Crime Murders</span>
</a>",2021-06-24
Press Release,Justice Department Settles Claim Against Operators of a Utah On-The-Job Training Program for Discriminating Against Asylee,"https://www.justice.gov<a href=""/opa/pr/justice-department-settles-claim-against-operators-utah-job-training-program-discriminating"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Settles Claim Against Operators of a Utah On-The-Job Training Program for Discriminating Against Asylee</span>
</a>",2021-06-24
Press Release,Three Texas Men Sentenced to Prison for Using Dating App to Target Gay Men for Violent Crimes,"https://www.justice.gov<a href=""/opa/pr/three-texas-men-sentenced-prison-using-dating-app-target-gay-men-violent-crimes"" rel=""bookmark"">
<span class=""field-formatter--string"">Three Texas Men Sentenced to Prison for Using Dating App to Target Gay Men for Violent Crimes </span>
</a>",2021-06-24
Press Release,Justice Department Reaches Agreement with San Luis Obispo County Jail to Ensure Safe and Equal Access to its Programs for Inmates with Mobility Disabilities,"https://www.justice.gov<a href=""/opa/pr/justice-department-reaches-agreement-san-luis-obispo-county-jail-ensure-safe-and-equal-access"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Reaches Agreement with San Luis Obispo County Jail to Ensure Safe and Equal Access to its Programs for Inmates with Mobility Disabilities</span>
</a>",2021-06-24
Press Release,Indiana Man Sentenced to 46 Months in Prison for Making Racially Motivated Threats Toward Black Neighbor and for Unlawfully Possessing Firearms,"https://www.justice.gov<a href=""/opa/pr/indiana-man-sentenced-46-months-prison-making-racially-motivated-threats-toward-black"" rel=""bookmark"">
<span class=""field-formatter--string"">Indiana Man Sentenced to 46 Months in Prison for Making Racially Motivated Threats Toward Black Neighbor and for Unlawfully Possessing Firearms</span>
</a>",2021-06-21
Press Release,Justice Department Settles with North Carolina Dental Offices Over HIV Discrimination,"https://www.justice.gov<a href=""/opa/pr/justice-department-settles-north-carolina-dental-offices-over-hiv-discrimination"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Settles with North Carolina Dental Offices Over HIV Discrimination</span>
</a>",2021-06-17
Press Release,Justice Department Settles with North Carolina School District to Provide Equal Opportunities to English Learner Students,"https://www.justice.gov<a href=""/opa/pr/justice-department-settles-north-carolina-school-district-provide-equal-opportunities-english"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Settles with North Carolina School District to Provide Equal Opportunities to English Learner Students </span>
</a>",2021-06-17
Press Release,Justice Department Settles with North Carolina Dental Offices Over HIV Discrimination,"https://www.justice.gov<a href=""/opa/pr/justice-department-settles-north-carolina-dental-offices-over-hiv-discrimination"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Settles with North Carolina Dental Offices Over HIV Discrimination</span>
</a>",2021-06-17
Press Release,Colorado Man Pleads Guilty to Federal Hate Crime After Unprovoked Stabbing of Black Man,"https://www.justice.gov<a href=""/opa/pr/colorado-man-pleads-guilty-federal-hate-crime-after-unprovoked-stabbing-black-man"" rel=""bookmark"">
<span class=""field-formatter--string"">Colorado Man Pleads Guilty to Federal Hate Crime After Unprovoked Stabbing of Black Man</span>
</a>",2021-06-17
Press Release,Massachusetts Man Convicted of Placing Firebomb at Entrance of Jewish Nursing Home,"https://www.justice.gov<a href=""/opa/pr/massachusetts-man-convicted-placing-firebomb-entrance-jewish-nursing-home"" rel=""bookmark"">
<span class=""field-formatter--string"">Massachusetts Man Convicted of Placing Firebomb at Entrance of Jewish Nursing Home </span>
</a>",2021-06-16
Press Release,"Justice Department Reaches Agreement with Newton County, Arkansas and its Board of Election Commissioners to Ensure Polling Place Accessibility for Voters with Disabilities","https://www.justice.gov<a href=""/opa/pr/justice-department-reaches-agreement-newton-county-arkansas-and-its-board-election"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Reaches Agreement with Newton County, Arkansas and its Board of Election Commissioners to Ensure Polling Place Accessibility for Voters with Disabilities</span>
</a>",2021-06-16
Speech,Attorney General Merrick B. Garland Remarks: Domestic Terrorism Policy Address,"https://www.justice.gov<a href=""/opa/speech/attorney-general-merrick-b-garland-remarks-domestic-terrorism-policy-address"" rel=""bookmark"">
<span class=""field-formatter--string"">Attorney General Merrick B. Garland Remarks: Domestic Terrorism Policy Address</span>
</a>",2021-06-15
Press Release,Justice Department Settles with Texas-Based Industrial Contractor to Resolve Immigration-Related Discrimination Claim,"https://www.justice.gov<a href=""/opa/pr/justice-department-settles-texas-based-industrial-contractor-resolve-immigration-related"" rel=""bookmark"">
<span class=""field-formatter--string""> Justice Department Settles with Texas-Based Industrial Contractor to Resolve Immigration-Related Discrimination Claim</span>
</a>",2021-06-15
Press Release,Kidnapping Charges Added to California Restaurant Owners Charged with Forced Labor and Harboring of Aliens,"https://www.justice.gov<a href=""/opa/pr/kidnapping-charges-added-california-restaurant-owners-charged-forced-labor-and-harboring"" rel=""bookmark"">
<span class=""field-formatter--string"">Kidnapping Charges Added to California Restaurant Owners Charged with Forced Labor and Harboring of Aliens</span>
</a>",2021-06-11
Press Release,Justice Department Settles Disability Discrimination Claims Against 19 Building Owners,"https://www.justice.gov<a href=""/opa/pr/justice-department-settles-disability-discrimination-claims-against-19-building-owners"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Settles Disability Discrimination Claims Against 19 Building Owners</span>
</a>",2021-06-08
Press Release,Justice Department Resolves ADA Complaint with Maine Department of Health and Human Services,"https://www.justice.gov<a href=""/opa/pr/justice-department-resolves-ada-complaint-maine-department-health-and-human-services"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Resolves ADA Complaint with Maine Department of Health and Human Services </span>
</a>",2021-06-04
Press Release,Texas Man Pleads Guilty to Hate Crime Charges After Using Dating App to Target Gay Men for Violent Crimes,"https://www.justice.gov<a href=""/opa/pr/texas-man-pleads-guilty-hate-crime-charges-after-using-dating-app-target-gay-men-violent"" rel=""bookmark"">
<span class=""field-formatter--string"">Texas Man Pleads Guilty to Hate Crime Charges  After Using Dating App to Target Gay Men for Violent Crimes</span>
</a>",2021-06-03
Press Release,Justice Department Obtains Settlement from San Diego Landlord to Resolve Claims Of Sexual Harassment Against Female Tenants,"https://www.justice.gov<a href=""/opa/pr/justice-department-obtains-settlement-san-diego-landlord-resolve-claims-sexual-harassment"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Obtains Settlement from San Diego Landlord to Resolve Claims Of Sexual Harassment Against Female Tenants</span>
</a>",2021-06-03
Press Release,Montana Man Indicted on Federal Hate Crime and Firearm Charges,"https://www.justice.gov<a href=""/opa/pr/montana-man-indicted-federal-hate-crime-and-firearm-charges-0"" rel=""bookmark"">
<span class=""field-formatter--string"">Montana Man Indicted on Federal Hate Crime and Firearm Charges</span>
</a>",2021-06-02
Press Release,Justice Department Settles Investigation into Language Barriers in the Hazleton Police Department,"https://www.justice.gov<a href=""/opa/pr/justice-department-settles-investigation-language-barriers-hazleton-police-department"" rel=""bookmark"">
<span class=""field-formatter--string""> Justice Department Settles Investigation into Language Barriers in the Hazleton Police Department</span>
</a>",2021-05-28
Press Release,Justice Department Settles with Maine School District to Protect Educational Rights of Students with Disabilities and English Learners,"https://www.justice.gov<a href=""/opa/pr/justice-department-settles-maine-school-district-protect-educational-rights-students"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Settles with Maine School District to Protect Educational Rights of Students with Disabilities and English Learners</span>
</a>",2021-05-27
Press Release,Alaska Defendant Pleads Guilty for Threatening Los Angeles Synagogue,"https://www.justice.gov<a href=""/opa/pr/alaska-defendant-pleads-guilty-threatening-los-angeles-synagogue"" rel=""bookmark"">
<span class=""field-formatter--string"">Alaska Defendant Pleads Guilty for Threatening Los Angeles Synagogue</span>
</a>",2021-05-27
Press Release,Justice Department Announces Settlement with Ashley Home Store Over Discrimination Claims of Indiana Army National Guardsman,"https://www.justice.gov<a href=""/opa/pr/justice-department-announces-settlement-ashley-home-store-over-discrimination-claims-indiana"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Announces Settlement with Ashley Home Store Over Discrimination Claims of Indiana Army National Guardsman </span>
</a>",2021-05-27
Press Release,Justice Department Settles with New York-Based Pharmaceutical Manufacturing Company to Resolve Immigration-Related Discrimination Claims,"https://www.justice.gov<a href=""/opa/pr/justice-department-settles-new-york-based-pharmaceutical-manufacturing-company-resolve"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Settles with New York-Based Pharmaceutical Manufacturing Company to Resolve Immigration-Related Discrimination Claims</span>
</a>",2021-05-27
Press Release,Justice Department Reaches Settlement with New Hampshire School District to Protect English Learner Students,"https://www.justice.gov<a href=""/opa/pr/justice-department-reaches-settlement-new-hampshire-school-district-protect-english-learner"" rel=""bookmark"">
<span class=""field-formatter--string"">Justice Department Reaches Settlement with New Hampshire School District to Protect English Learner Students </span>
</a>",2021-05-24
